modulus,depth,width,init,wd,seed,step,train_accuracy,test_accuracy,train_loss,test_loss
91,1,128,1,0.45,0,2600,1.0,0.002760048257187009,0.010414755903184414,8.004303932189941
91,1,128,1,0.45,0,2700,1.0,0.0029325513169169426,0.010516704991459846,7.8071608543396
91,1,128,1,0.45,0,2800,1.0,0.0032775572035461664,0.010475868359208107,7.655368328094482
91,1,128,1,0.45,0,2900,1.0,0.002760048257187009,0.010266284458339214,7.538682460784912
91,1,128,1,0.45,0,3000,0.26811593770980835,0.0006900120642967522,2.7367825508117676,7.2800822257995605
91,1,128,1,0.45,0,3100,1.0,0.004140072502195835,0.011864892207086086,8.727017402648926
91,1,128,1,0.45,0,3200,1.0,0.0037950663827359676,0.009549552574753761,8.420540809631348
91,1,128,1,0.45,0,3300,1.0,0.004140072502195835,0.009377176873385906,8.122694969177246
91,1,128,1,0.45,0,3400,1.0,0.0037950663827359676,0.009599044919013977,7.878084182739258
91,1,128,1,0.45,0,3500,1.0,0.004140072502195835,0.00980669166892767,7.686862945556641
91,1,128,1,0.45,0,3600,1.0,0.004657581448554993,0.009880668483674526,7.540150165557861
91,1,128,1,0.45,0,3700,1.0,0.004140072502195835,0.009820731356739998,7.428293228149414
91,1,128,1,0.45,0,3800,0.37077295780181885,0.0006900120642967522,2.3312549591064453,7.428440570831299
91,1,128,1,0.45,0,3900,1.0,0.0022425393108278513,0.02121288701891899,9.338902473449707
91,1,128,1,0.45,0,4000,1.0,0.0031050543766468763,0.01074998453259468,9.01288890838623
91,1,128,1,0.45,0,4100,1.0,0.0032775572035461664,0.009310562163591385,8.615911483764648
91,1,128,1,0.45,0,4200,1.0,0.0034500602632761,0.009127209894359112,8.261959075927734
91,1,128,1,0.45,0,4300,1.0,0.0037950663827359676,0.009347662329673767,7.962368488311768
91,1,128,1,0.45,0,4400,0.998389720916748,0.0022425393108278513,0.16207318007946014,8.668530464172363
91,1,128,1,0.45,0,4500,1.0,0.005347593687474728,0.013066677376627922,8.823277473449707
91,1,128,1,0.45,0,4600,1.0,0.00500258756801486,0.010810058563947678,8.470505714416504
91,1,128,1,0.45,0,4700,1.0,0.005692599341273308,0.010460910387337208,8.149035453796387
91,1,128,1,0.45,0,4800,1.0,0.003622563323006034,0.09201028198003769,8.42064094543457
91,1,128,1,0.45,0,4900,1.0,0.00672761769965291,0.011344309896230698,8.412784576416016
91,1,128,1,0.45,0,5000,1.0,0.008107641711831093,0.010619771666824818,8.094444274902344
91,1,128,1,0.45,0,5100,1.0,0.008107641711831093,0.010822423733770847,7.825582504272461
91,1,128,1,0.45,0,5200,1.0,0.008797653950750828,0.011106749065220356,7.611084938049316
91,1,128,1,0.45,0,5300,1.0,0.008452647365629673,0.011261255480349064,7.440376281738281
91,1,128,1,0.45,0,5400,1.0,0.00862515065819025,0.011280647478997707,7.303177356719971
91,1,128,1,0.45,0,5500,1.0,0.008452647365629673,0.011207430623471737,7.192786693572998
91,1,128,1,0.45,0,5600,1.0,0.008797653950750828,0.011060413904488087,7.105452537536621
91,1,128,1,0.45,0,5700,1.0,0.00828014500439167,0.010816720314323902,7.03928804397583
91,1,128,1,0.45,0,5800,1.0,0.009142659604549408,0.010441119782626629,6.9925336837768555
91,1,128,1,0.45,0,5900,1.0,0.00862515065819025,0.00994134321808815,6.961638927459717
91,1,128,1,0.45,0,6000,1.0,0.00862515065819025,0.009371018037199974,6.941802501678467
91,1,128,1,0.45,0,6100,0.987922728061676,0.005347593687474728,0.47941601276397705,8.041787147521973
91,1,128,1,0.45,0,6200,1.0,0.013110228814184666,0.017054947093129158,8.231743812561035
91,1,128,1,0.45,0,6300,1.0,0.0138002410531044,0.010976430959999561,7.882181644439697
91,1,128,1,0.45,0,6400,1.0,0.014317749999463558,0.009414036758244038,7.515240669250488
91,1,128,1,0.45,0,6500,0.04146537929773331,0.00828014500439167,4.302513122558594,4.654902458190918
91,1,128,1,0.45,0,6600,1.0,0.048818353563547134,0.043725017458200455,5.634247303009033
91,1,128,1,0.45,0,6700,1.0,0.05934103578329086,0.016696393489837646,5.441151142120361
91,1,128,1,0.45,0,6800,1.0,0.06882870197296143,0.01243816502392292,5.16636848449707
91,1,128,1,0.45,0,6900,0.9303542971611023,0.07417629659175873,0.4455735981464386,4.407220363616943
91,1,128,1,0.45,0,7000,1.0,0.17267552018165588,0.018130486831068993,3.515005350112915
91,1,128,1,0.45,0,7100,1.0,0.1932033747434616,0.013753050938248634,3.340872287750244
91,1,128,1,0.45,0,7200,1.0,0.21424874663352966,0.012393574230372906,3.1413426399230957
91,1,128,1,0.45,0,7300,1.0,0.2401241958141327,0.01177087239921093,2.9337363243103027
91,1,128,1,0.45,0,7400,1.0,0.2723822593688965,0.011371445842087269,2.7187981605529785
91,1,128,1,0.45,0,7500,1.0,0.3106779456138611,0.011038300581276417,2.494529962539673
91,1,128,1,0.45,0,7600,1.0,0.35483869910240173,0.010725382715463638,2.259791612625122
91,1,128,1,0.45,0,7700,1.0,0.4131447374820709,0.010415318422019482,2.014946937561035
91,1,128,1,0.45,0,7800,1.0,0.4776608645915985,0.010088943876326084,1.761940360069275
91,1,128,1,0.45,0,7900,1.0,0.551837146282196,0.009719222784042358,1.5059564113616943
91,1,128,1,0.45,0,8000,1.0,0.6392961740493774,0.00927744060754776,1.2558428049087524
91,1,128,1,0.45,0,8100,1.0,0.7208901047706604,0.008758757263422012,1.0211750268936157
91,1,128,1,0.45,0,8200,1.0,0.8024840354919434,0.008189929649233818,0.8094388246536255
91,1,128,1,0.45,0,8300,1.0,0.8626875877380371,0.007608525920659304,0.625217080116272
91,1,128,1,0.45,0,8400,1.0,0.9128859639167786,0.007042220793664455,0.47038379311561584
91,1,128,1,0.45,0,8500,1.0,0.9463515281677246,0.006503708194941282,0.3446299731731415
91,1,128,1,0.45,0,8600,1.0,0.9703294634819031,0.005995691288262606,0.2459970861673355
91,1,128,1,0.45,0,8700,1.0,0.9870622754096985,0.0055175600573420525,0.17138832807540894
91,1,128,1,0.45,0,8800,1.0,0.9943073987960815,0.005070100538432598,0.11706966161727905
91,1,128,1,0.45,0,8900,1.0,0.9975849390029907,0.004656755831092596,0.07907972484827042
91,1,128,1,0.45,0,9000,1.0,0.9994824528694153,0.004281322006136179,0.05350308492779732
91,1,128,1,0.45,0,9100,1.0,0.99982750415802,0.003944982308894396,0.03675032779574394
91,1,128,1,0.45,0,9200,1.0,0.99982750415802,0.003645587945356965,0.025884220376610756
91,1,128,1,0.45,0,9300,1.0,1.0,0.0033789200242608786,0.0187841709703207
91,1,128,1,0.45,0,9400,1.0,1.0,0.0031402355525642633,0.014058573171496391
91,1,128,1,0.45,0,9500,1.0,1.0,0.0029252218082547188,0.010835952125489712
91,1,128,1,0.45,0,9600,1.0,1.0,0.002730292733758688,0.008576947264373302
91,1,128,1,0.45,0,9700,1.0,1.0,0.002552557038143277,0.006948508787900209
91,1,128,1,0.45,0,9800,1.0,1.0,0.002389725996181369,0.005743860732764006
91,1,128,1,0.45,0,9900,1.0,1.0,0.002239982131868601,0.004832189064472914
91,1,128,1,0.45,0,10000,1.0,1.0,0.0021019098348915577,0.004128479398787022
91,1,128,1,0.45,0,10100,1.0,1.0,0.0019743256270885468,0.0035757769364863634
91,1,128,1,0.45,0,10200,1.0,1.0,0.0018561800243332982,0.0031348858028650284
91,1,128,1,0.45,0,10300,1.0,1.0,0.0017465082928538322,0.002778238384053111
91,1,128,1,0.45,0,10400,1.0,1.0,0.0016444474458694458,0.002486082259565592
91,1,128,1,0.45,0,10500,1.0,1.0,0.0015492821112275124,0.0022440371103584766
91,1,128,1,0.45,0,10600,1.0,1.0,0.0014604172902181745,0.0020413172896951437
91,1,128,1,0.45,0,10700,1.0,1.0,0.0013773764949291945,0.0018696150509640574
91,1,128,1,0.45,0,10800,1.0,1.0,0.0012997525045648217,0.0017223795875906944
91,1,128,1,0.45,0,10900,1.0,1.0,0.0012271422892808914,0.0015945283230394125
91,1,128,1,0.45,0,11000,1.0,1.0,0.0011591606307774782,0.0014821621589362621
91,1,128,1,0.45,0,11100,1.0,1.0,0.001095471321605146,0.0013823728077113628
91,1,128,1,0.45,0,11200,1.0,1.0,0.0010357701685279608,0.0012929722433909774
91,1,128,1,0.45,0,11300,1.0,1.0,0.0009797809179872274,0.0012122385669499636
91,1,128,1,0.45,0,11400,1.0,1.0,0.0009272393072023988,0.001138813211582601
91,1,128,1,0.45,0,11500,1.0,1.0,0.0008779151830822229,0.0010716079268604517
91,1,128,1,0.45,0,11600,1.0,1.0,0.0008315856102854013,0.0010097522754222155
91,1,128,1,0.45,0,11700,1.0,1.0,0.0007880507037043571,0.0009525560890324414
91,1,128,1,0.45,0,11800,1.0,1.0,0.0007471175049431622,0.0008994597010314465
91,1,128,1,0.45,0,11900,1.0,1.0,0.0007086221012286842,0.0008500215481035411
91,1,128,1,0.45,0,12000,1.0,1.0,0.0006724033155478537,0.0008038774249143898
91,1,128,1,0.45,0,12100,1.0,1.0,0.0006383105064742267,0.0007607254665344954
91,1,128,1,0.45,0,12200,1.0,1.0,0.0006062125321477652,0.0007203142740763724
91,1,128,1,0.45,0,12300,1.0,1.0,0.0005759672494605184,0.0006824207957834005
91,1,128,1,0.45,0,12400,1.0,1.0,0.0005474670324474573,0.000646859232801944
91,1,128,1,0.45,0,12500,1.0,1.0,0.0005206109490245581,0.0006134645082056522
91,1,128,1,0.45,0,12600,1.0,1.0,0.0004952840390615165,0.000582086737267673
91,1,128,1,0.45,0,12700,1.0,1.0,0.0004714001261163503,0.0005525918677449226
91,1,128,1,0.45,0,12800,1.0,1.0,0.00044885397073812783,0.00052485620835796
91,1,128,1,0.45,0,12900,1.0,1.0,0.0004275819519534707,0.0004987643915228546
91,1,128,1,0.45,0,13000,1.0,1.0,0.0004074889875482768,0.00047421047929674387
91,1,128,1,0.45,0,13100,1.0,1.0,0.00038850889541208744,0.0004510882426984608
91,1,128,1,0.45,0,13200,1.0,1.0,0.00037055820575915277,0.0004292991943657398
91,1,128,1,0.45,0,13300,0.03864734247326851,0.02484043501317501,4.340266704559326,4.40557336807251
91,1,128,1,0.45,0,13400,1.0,0.9984474778175354,0.024508262053132057,0.047106146812438965
91,1,128,1,0.45,0,13500,1.0,0.9987924695014954,0.016019582748413086,0.029944509267807007
91,1,128,1,0.45,0,13600,1.0,0.9993099570274353,0.012868396006524563,0.0214977003633976
91,1,128,1,0.45,0,13700,1.0,1.0,0.011325817555189133,0.015555723570287228
91,1,128,1,0.45,0,13800,0.0334138497710228,0.03812316805124283,5.407354354858398,5.3284478187561035
91,1,128,1,0.45,0,13900,1.0,1.0,0.01455903984606266,0.02095179073512554
91,1,128,1,0.45,0,14000,1.0,1.0,0.012644397094845772,0.01654938794672489
91,1,128,1,0.45,0,14100,1.0,1.0,0.013367990963160992,0.016484377905726433
91,1,128,1,0.45,0,14200,1.0,1.0,0.014640074223279953,0.01741984859108925
91,1,128,1,0.45,0,14300,1.0,1.0,0.015653051435947418,0.01823834329843521
91,1,128,1,0.45,0,14400,1.0,1.0,0.016001442447304726,0.018434127792716026
91,1,128,1,0.45,0,14500,1.0,1.0,0.015328479930758476,0.017589081078767776
91,1,128,1,0.45,0,14600,1.0,1.0,0.013239981606602669,0.015215118415653706
91,1,128,1,0.45,0,14700,1.0,1.0,0.01050624344497919,0.012136283330619335
91,1,128,1,0.45,0,14800,1.0,1.0,0.008799596689641476,0.010207923129200935
91,1,128,1,0.45,0,14900,0.5177133679389954,0.4155597686767578,2.422877073287964,2.6016178131103516
91,1,128,1,0.45,0,15000,1.0,0.99982750415802,0.021034346893429756,0.03474140539765358
91,1,128,1,0.45,0,15100,1.0,1.0,0.01218669768422842,0.01705474779009819
91,1,128,1,0.45,0,15200,1.0,1.0,0.010501676239073277,0.013048836030066013
91,1,128,1,0.45,0,15300,1.0,1.0,0.011435363441705704,0.01338600181043148
91,1,128,1,0.45,0,15400,1.0,1.0,0.012997106648981571,0.014716528356075287
91,1,128,1,0.45,0,15500,1.0,1.0,0.014364422298967838,0.01596846617758274
91,1,128,1,0.45,0,15600,1.0,1.0,0.015128490515053272,0.01666180044412613
91,1,128,1,0.45,0,15700,1.0,1.0,0.015246040187776089,0.01673334836959839
91,1,128,1,0.45,0,15800,1.0,1.0,0.014900132082402706,0.01635255292057991
91,1,128,1,0.45,0,15900,1.0,1.0,0.014299165457487106,0.015715934336185455
91,1,128,1,0.45,0,16000,0.9967793822288513,0.9946523904800415,0.1924997717142105,0.20037390291690826
91,1,128,1,0.45,0,16100,1.0,1.0,0.012114646844565868,0.016358623281121254
91,1,128,1,0.45,0,16200,1.0,1.0,0.01042348612099886,0.012774528004229069
91,1,128,1,0.45,0,16300,1.0,1.0,0.011505643837153912,0.01329571008682251
91,1,128,1,0.45,0,16400,1.0,1.0,0.012815713882446289,0.014355490915477276
91,1,128,1,0.45,0,16500,1.0,1.0,0.013729923404753208,0.015145387500524521
91,1,128,1,0.45,0,16600,1.0,1.0,0.013953189365565777,0.015291147865355015
91,1,128,1,0.45,0,16700,1.0,1.0,0.01362757757306099,0.014900226145982742
91,1,128,1,0.45,0,16800,1.0,1.0,0.013033632189035416,0.014244391582906246
91,1,128,1,0.45,0,16900,1.0,1.0,0.012344551272690296,0.013496065512299538
91,1,128,1,0.45,0,17000,1.0,1.0,0.011641041375696659,0.012735825963318348
91,1,128,1,0.45,0,17100,1.0,1.0,0.010960892774164677,0.012000213377177715
91,1,128,1,0.45,0,17200,0.01247987151145935,0.0103501807898283,4.534606456756592,4.574855327606201
91,1,128,1,0.45,0,17300,0.9702093601226807,0.9097809195518494,0.4892951250076294,0.61293625831604
91,1,128,1,0.45,0,17400,0.29025766253471375,0.2697947025299072,5.581230163574219,5.765864849090576
91,1,128,1,0.45,0,17500,1.0,1.0,0.06716941297054291,0.08517935127019882
91,1,128,1,0.45,0,17600,1.0,1.0,0.04959921911358833,0.06023874878883362
91,1,128,1,0.45,0,17700,1.0,1.0,0.044751204550266266,0.05346175655722618
91,1,128,1,0.45,0,17800,1.0,1.0,0.039325516670942307,0.046551913022994995
91,1,128,1,0.45,0,17900,1.0,1.0,0.03209748491644859,0.037726178765296936
91,1,128,1,0.45,0,18000,1.0,1.0,0.02769607864320278,0.03235722705721855
91,1,128,1,0.45,0,18100,0.8538647294044495,0.7793686389923096,0.7482391595840454,0.8875730037689209
91,1,128,1,0.45,0,18200,1.0,1.0,0.029933007434010506,0.036322880536317825
91,1,128,1,0.45,0,18300,1.0,1.0,0.027809247374534607,0.032405201345682144
91,1,128,1,0.45,0,18400,1.0,1.0,0.029490482062101364,0.03365631774067879
91,1,128,1,0.45,0,18500,1.0,1.0,0.031781382858753204,0.035829972475767136
91,1,128,1,0.45,0,18600,1.0,1.0,0.0335514210164547,0.03756999596953392
91,1,128,1,0.45,0,18700,1.0,1.0,0.034223705530166626,0.03818570822477341
91,1,128,1,0.45,0,18800,1.0,1.0,0.03383847698569298,0.037689439952373505
91,1,128,1,0.45,0,18900,1.0,1.0,0.032555628567934036,0.03623861446976662
91,1,128,1,0.45,0,19000,1.0,1.0,0.030261745676398277,0.03369561582803726
91,1,128,1,0.45,0,19100,0.998792290687561,0.9791271090507507,0.36077776551246643,0.4391455054283142
91,1,128,1,0.45,0,19200,1.0,0.9996549487113953,0.06294572353363037,0.08700476586818695
91,1,128,1,0.45,0,19300,1.0,1.0,0.029838992282748222,0.03524206951260567
91,1,128,1,0.45,0,19400,1.0,1.0,0.03043808974325657,0.034572187811136246
91,1,128,1,0.45,0,19500,1.0,1.0,0.03302326798439026,0.0370195209980011
91,1,128,1,0.45,0,19600,0.36191627383232117,0.34224599599838257,2.593003988265991,2.643747091293335
91,1,128,1,0.45,0,19700,1.0,1.0,0.09436197578907013,0.12076849490404129
91,1,128,1,0.45,0,19800,1.0,1.0,0.037716999650001526,0.044315632432699203
91,1,128,1,0.45,0,19900,1.0,1.0,0.03429218754172325,0.03861076012253761
91,1,128,1,0.45,0,20000,1.0,1.0,0.034962017089128494,0.03869288042187691
91,1,128,1,0.45,0,20100,1.0,0.9975849390029907,0.12626872956752777,0.1587558388710022
91,1,128,1,0.45,0,20200,1.0,1.0,0.04124525189399719,0.04776160791516304
91,1,128,1,0.45,0,20300,1.0,1.0,0.03148232400417328,0.03520745411515236
91,1,128,1,0.45,0,20400,1.0,1.0,0.027807362377643585,0.030640555545687675
91,1,128,1,0.45,0,20500,1.0,1.0,0.02658820152282715,0.029087744653224945
91,1,128,1,0.45,0,20600,0.7987117767333984,0.7238226532936096,0.9087215662002563,1.0785118341445923
91,1,128,1,0.45,0,20700,1.0,1.0,0.053326789289712906,0.0664680227637291
91,1,128,1,0.45,0,20800,1.0,1.0,0.03545542061328888,0.04105137288570404
91,1,128,1,0.45,0,20900,1.0,1.0,0.03509216383099556,0.03938779979944229
91,1,128,1,0.45,0,21000,1.0,1.0,0.037063077092170715,0.0408659465610981
91,1,128,1,0.45,0,21100,1.0,0.9989649653434753,0.16624324023723602,0.20667509734630585
91,1,128,1,0.45,0,21200,1.0,1.0,0.05404827743768692,0.06736024469137192
91,1,128,1,0.45,0,21300,1.0,1.0,0.045682575553655624,0.053965602070093155
91,1,128,1,0.45,0,21400,1.0,1.0,0.042662233114242554,0.04895223677158356
91,1,128,1,0.45,0,21500,1.0,1.0,0.03687076270580292,0.04159713536500931
91,1,128,1,0.45,0,21600,1.0,1.0,0.03239811956882477,0.036128636449575424
91,1,128,1,0.45,0,21700,1.0,1.0,0.032960858196020126,0.03626586124300957
91,1,128,1,0.45,0,21800,1.0,0.9994824528694153,0.07097738236188889,0.0897819772362709
91,1,128,1,0.45,0,21900,1.0,1.0,0.0367976538836956,0.04343607276678085
91,1,128,1,0.45,0,22000,1.0,1.0,0.034978870302438736,0.04002600535750389
91,1,128,1,0.45,0,22100,1.0,1.0,0.03589056804776192,0.040234360843896866
91,1,128,1,0.45,0,22200,1.0,1.0,0.036966994404792786,0.0408247709274292
91,1,128,1,0.45,0,22300,1.0,1.0,0.037595149129629135,0.04107486456632614
91,1,128,1,0.45,0,22400,0.021739130839705467,0.015352768823504448,4.496986389160156,4.499449253082275
91,1,128,1,0.45,0,22500,0.9094203114509583,0.8385371565818787,0.6711689829826355,0.8143401741981506
91,1,128,1,0.45,0,22600,1.0,1.0,0.07381508499383926,0.09118036180734634
91,1,128,1,0.45,0,22700,1.0,1.0,0.04148462042212486,0.04708695784211159
91,1,128,1,0.45,0,22800,1.0,1.0,0.03392796218395233,0.037664227187633514
91,1,128,1,0.45,0,22900,0.761674702167511,0.6831119656562805,0.9090320467948914,1.075002908706665
91,1,128,1,0.45,0,23000,1.0,1.0,0.06011871248483658,0.07282766699790955
91,1,128,1,0.45,0,23100,1.0,1.0,0.04241479933261871,0.04954584315419197
91,1,128,1,0.45,0,23200,1.0,1.0,0.03995214030146599,0.04540135711431503
91,1,128,1,0.45,0,23300,1.0,1.0,0.0410086028277874,0.04571142420172691
91,1,128,1,0.45,0,23400,1.0,1.0,0.04254036769270897,0.046767257153987885
91,1,128,1,0.45,0,23500,1.0,1.0,0.04352309927344322,0.047378119081258774
91,1,128,1,0.45,0,23600,1.0,1.0,0.043681539595127106,0.04724155738949776
91,1,128,1,0.45,0,23700,1.0,1.0,0.0428476519882679,0.046172820031642914
91,1,128,1,0.45,0,23800,0.8132045269012451,0.7208901047706604,0.8571555018424988,0.9964978694915771
91,1,128,1,0.45,0,23900,1.0,1.0,0.08495685458183289,0.09986773878335953
91,1,128,1,0.45,0,24000,1.0,1.0,0.05057552829384804,0.056757524609565735
91,1,128,1,0.45,0,24100,0.956119179725647,0.9087458848953247,0.4516347646713257,0.5513681173324585
91,1,128,1,0.45,0,24200,1.0,1.0,0.0525704100728035,0.06165490299463272
91,1,128,1,0.45,0,24300,1.0,1.0,0.04849043861031532,0.05486910417675972
91,1,128,1,0.45,0,24400,1.0,1.0,0.04827294126152992,0.053674496710300446
91,1,128,1,0.45,0,24500,1.0,1.0,0.0480179563164711,0.05273422226309776
91,1,128,1,0.45,0,24600,1.0,1.0,0.04725765064358711,0.051438432186841965
91,1,128,1,0.45,0,24700,1.0,1.0,0.04584566131234169,0.049613744020462036
91,1,128,1,0.45,0,24800,1.0,0.9979299306869507,0.13169343769550323,0.16094401478767395
91,1,128,1,0.45,0,24900,1.0,1.0,0.054349325597286224,0.06236378848552704
91,1,128,1,0.45,0,25000,1.0,1.0,0.04832559451460838,0.05388867110013962
91,1,128,1,0.45,0,25100,1.0,1.0,0.04716300591826439,0.05197852477431297
91,1,128,1,0.45,0,25200,0.15700483322143555,0.15387268364429474,9.120052337646484,9.30017375946045
91,1,128,1,0.45,0,25300,1.0,1.0,0.08028176426887512,0.09316115826368332
91,1,128,1,0.45,0,25400,1.0,1.0,0.05637457221746445,0.06245959922671318
91,1,128,1,0.45,0,25500,1.0,1.0,0.05479517951607704,0.059913475066423416
91,1,128,1,0.45,0,25600,1.0,1.0,0.05482417345046997,0.059468187391757965
91,1,128,1,0.45,0,25700,1.0,1.0,0.053580425679683685,0.05786626413464546
91,1,128,1,0.45,0,25800,1.0,0.99982750415802,0.08679191023111343,0.10474046319723129
91,1,128,1,0.45,0,25900,1.0,1.0,0.05883089452981949,0.0667434111237526
91,1,128,1,0.45,0,26000,1.0,1.0,0.0535447932779789,0.05949901044368744
91,1,128,1,0.45,0,26100,1.0,1.0,0.05136379227042198,0.05653221905231476
91,1,128,1,0.45,0,26200,1.0,1.0,0.04924922063946724,0.05389966815710068
91,1,128,1,0.45,0,26300,1.0,1.0,0.06395256519317627,0.07366415113210678
91,1,128,1,0.45,0,26400,1.0,1.0,0.05538754537701607,0.06148243695497513
91,1,128,1,0.45,0,26500,1.0,1.0,0.05604345723986626,0.06125755235552788
91,1,128,1,0.45,0,26600,1.0,1.0,0.05688858777284622,0.0616992823779583
91,1,128,1,0.45,0,26700,1.0,1.0,0.05648238584399223,0.06102626025676727
91,1,128,1,0.45,0,26800,1.0,1.0,0.054765015840530396,0.05906606465578079
91,1,128,1,0.45,0,26900,0.999194860458374,0.9944798946380615,0.16042111814022064,0.19386422634124756
91,1,128,1,0.45,0,27000,1.0,1.0,0.05585748702287674,0.06303286552429199
91,1,128,1,0.45,0,27100,1.0,1.0,0.051247622817754745,0.056603193283081055
91,1,128,1,0.45,0,27200,1.0,1.0,0.04602460935711861,0.05039455369114876
91,1,128,1,0.45,0,27300,0.34863123297691345,0.3074003756046295,2.4632458686828613,2.537944793701172
91,1,128,1,0.45,0,27400,1.0,1.0,0.06704685091972351,0.07947918027639389
91,1,128,1,0.45,0,27500,1.0,1.0,0.051075879484415054,0.057565074414014816
91,1,128,1,0.45,0,27600,1.0,1.0,0.05008542165160179,0.0555235929787159
91,1,128,1,0.45,0,27700,1.0,1.0,0.04977049678564072,0.05469083786010742
91,1,128,1,0.45,0,27800,0.10628019273281097,0.09246161580085754,3.792933702468872,3.8891727924346924
91,1,128,1,0.45,0,27900,1.0,0.99982750415802,0.09661999344825745,0.11501559615135193
91,1,128,1,0.45,0,28000,0.999597430229187,0.9991374611854553,0.09563006460666656,0.11448803544044495
91,1,128,1,0.45,0,28100,1.0,1.0,0.05173136666417122,0.0586635023355484
91,1,128,1,0.45,0,28200,1.0,1.0,0.04474291577935219,0.05000290274620056
91,1,128,1,0.45,0,28300,1.0,1.0,0.04047967866063118,0.044797368347644806
91,1,128,1,0.45,0,28400,1.0,1.0,0.037365496158599854,0.04106157273054123
91,1,128,1,0.45,0,28500,1.0,1.0,0.0337507389485836,0.03689878433942795
91,1,128,1,0.45,0,28600,1.0,0.9941349029541016,0.24982842803001404,0.3029934763908386
91,1,128,1,0.45,0,28700,1.0,1.0,0.0503869466483593,0.058808084577322006
91,1,128,1,0.45,0,28800,1.0,1.0,0.04059495031833649,0.045231565833091736
91,1,128,1,0.45,0,28900,1.0,1.0,0.04114994779229164,0.0448082759976387
91,1,128,1,0.45,0,29000,1.0,1.0,0.043671898543834686,0.047039683908224106
91,1,128,1,0.45,0,29100,0.9863123893737793,0.9679144024848938,0.24942119419574738,0.30588459968566895
91,1,128,1,0.45,0,29200,1.0,1.0,0.05346151441335678,0.06216053292155266
91,1,128,1,0.45,0,29300,1.0,1.0,0.04694800823926926,0.052547767758369446
91,1,128,1,0.45,0,29400,1.0,1.0,0.04657336696982384,0.05129165202379227
91,1,128,1,0.45,0,29500,1.0,1.0,0.04696287587285042,0.05125492066144943
91,1,128,1,0.45,0,29600,1.0,1.0,0.046952828764915466,0.05097181349992752
91,1,128,1,0.45,0,29700,1.0,1.0,0.046266768127679825,0.05008219927549362
91,1,128,1,0.45,0,29800,0.999597430229187,0.9989649653434753,0.13111135363578796,0.15596051514148712
91,1,128,1,0.45,0,29900,1.0,1.0,0.05892615020275116,0.06745785474777222
91,1,128,1,0.45,0,30000,1.0,1.0,0.048921942710876465,0.05415263772010803
91,1,128,1,0.45,0,30100,1.0,1.0,0.048327408730983734,0.05283915996551514
91,1,128,1,0.45,0,30200,1.0,1.0,0.048716530203819275,0.05292138084769249
91,1,128,1,0.45,0,30300,1.0,1.0,0.048415057361125946,0.05239691212773323
91,1,128,1,0.45,0,30400,1.0,1.0,0.09213963150978088,0.10902026295661926
